dataset,image_id,identity_id,seed,method,epsilon,steps,step_ratio,cosine_similarity,psnr,ssim,lpips,success,jpeg_cosine,blur_cosine,resize_cosine,relaxed_success,runtime_sec
LFW,lfw_11893,Jean Carnahan,0,Random Noise,0.047058823529411764,35,0.125,0.9843785762786865,34.756613146145774,0.8501097936153655,0.30196037888526917,False,0.9744653701782227,0.9887920618057251,0.9882127642631531,False,0.0002200007438659668
LFW,lfw_02745,Steve Nesbitt,0,Random Noise,0.047058823529411764,35,0.125,0.9948565363883972,34.76198797467038,0.8900295171191437,0.1802855134010315,False,0.994349479675293,0.9909470081329346,0.9963927865028381,False,0.0002200007438659668
LFW,lfw_04962,Recep Tayyip Erdogan,0,Random Noise,0.047058823529411764,35,0.125,0.9936250448226929,34.78128211175809,0.8966503064801653,0.1899080127477646,False,0.9919617176055908,0.9963570833206177,0.9956231117248535,False,0.0002200007438659668
LFW,lfw_04432,Penny Lancaster,0,Random Noise,0.047058823529411764,35,0.125,0.9663873910903931,34.73867730987602,0.8500398430248223,0.3561028242111206,False,0.9669539928436279,0.9831516742706299,0.9748931527137756,False,4.750490188598633e-05
LFW,lfw_09660,Tony Blair,0,Random Noise,0.047058823529411764,35,0.125,0.9845966100692749,34.757964980013625,0.8744914955180431,0.2596864700317383,False,0.9845288395881653,0.9908614158630371,0.9899442195892334,False,4.750490188598633e-05
LFW,lfw_00609,Colin Powell,0,Random Noise,0.047058823529411764,35,0.125,0.9929344058036804,34.73681540458095,0.8815772322061041,0.21070048213005066,False,0.9921975135803223,0.9934130907058716,0.9959956407546997,False,4.750490188598633e-05
LFW,lfw_11070,Sergio Vieira De Mello,0,Random Noise,0.047058823529411764,35,0.125,0.9757353663444519,34.75986163248562,0.8481582534647524,0.2654077708721161,False,0.9647958278656006,0.9917702078819275,0.9871099591255188,False,4.750490188598633e-05
LFW,lfw_11408,Andre Bucher,0,Random Noise,0.047058823529411764,35,0.125,0.9898165464401245,34.862217547477,0.9068105930316598,0.13871587812900543,False,0.9817288517951965,0.989033579826355,0.9911381006240845,False,4.750490188598633e-05
LFW,lfw_07482,Mitar Rasevic,0,Random Noise,0.047058823529411764,35,0.125,0.9929544925689697,34.77947427520026,0.8835900035381269,0.18157045543193817,False,0.9916532039642334,0.9932175874710083,0.9956623315811157,False,4.750490188598633e-05
LFW,lfw_08233,Maribel Dominguez,0,Random Noise,0.047058823529411764,35,0.125,0.9596884250640869,34.79028414720692,0.9062442703567882,0.2293393760919571,False,0.9694176316261292,0.9826522469520569,0.9762149453163147,False,4.750490188598633e-05
LFW,lfw_11839,Guillermo Coria,0,Random Noise,0.047058823529411764,35,0.125,0.9918926954269409,34.786756896810324,0.8979559125477136,0.17007656395435333,False,0.9889047145843506,0.9929667711257935,0.9937570691108704,False,4.750490188598633e-05
LFW,lfw_06094,Florencia Kirchner,0,Random Noise,0.047058823529411764,35,0.125,0.9166851043701172,34.724497541979694,0.8499081715693396,0.31319907307624817,False,0.9175828695297241,0.9717291593551636,0.9462356567382812,False,9.250640869140625e-05
LFW,lfw_07567,Jennifer Aniston,0,Random Noise,0.047058823529411764,35,0.125,0.9722974896430969,34.751127144761476,0.8764294790895267,0.2842521667480469,False,0.9708396196365356,0.9888831377029419,0.982164740562439,False,9.250640869140625e-05
LFW,lfw_01217,Art Hoffmann,0,Random Noise,0.047058823529411764,35,0.125,0.9883658289909363,34.89035562884218,0.8866732155787211,0.26924461126327515,False,0.9862792491912842,0.9948007464408875,0.9930930137634277,False,9.250640869140625e-05
LFW,lfw_12576,Geraldine Chaplin,0,Random Noise,0.047058823529411764,35,0.125,0.9677950143814087,34.769581477549174,0.8810183229307751,0.2181076556444168,False,0.9425100088119507,0.992181658744812,0.9860113859176636,False,9.250640869140625e-05
LFW,lfw_03057,Cameron Diaz,0,Random Noise,0.047058823529411764,35,0.125,0.9795445203781128,34.77668845010034,0.8911585627352777,0.23737271130084991,False,0.9784346222877502,0.9878994822502136,0.9884432554244995,False,9.250640869140625e-05
LFW,lfw_03122,Nestor Kirchner,0,Random Noise,0.047058823529411764,35,0.125,0.99204421043396,34.73244269316365,0.8798369604665869,0.18351104855537415,False,0.9906007647514343,0.987467885017395,0.994861364364624,False,9.250640869140625e-05
LFW,lfw_05517,Michael Moore,0,Random Noise,0.047058823529411764,35,0.125,0.9761706590652466,34.736596539503886,0.8729106768374549,0.2698794901371002,False,0.9779110550880432,0.9835173487663269,0.987661600112915,False,9.250640869140625e-05
LFW,lfw_10207,Anil Ramsook,0,Random Noise,0.047058823529411764,35,0.125,0.9876817464828491,34.77747362580773,0.8839846251204868,0.23573017120361328,False,0.9816842079162598,0.990302324295044,0.9922205209732056,False,9.250640869140625e-05
LFW,lfw_10596,Jenny Romero,0,Random Noise,0.047058823529411764,35,0.125,0.9777708649635315,34.74893602111624,0.8700447845565976,0.2595040202140808,False,0.9726585745811462,0.9892823100090027,0.9882714748382568,False,6.958842277526855e-05
LFW,lfw_06024,Don Siegelman,0,Random Noise,0.047058823529411764,35,0.125,0.9893070459365845,34.76204218409611,0.8732957400716814,0.18975716829299927,False,0.987146258354187,0.9840219020843506,0.9928803443908691,False,6.958842277526855e-05
LFW,lfw_02654,Gonzalo Sanchez de Lozada,0,Random Noise,0.047058823529411764,35,0.125,0.9873256683349609,34.74725999386702,0.8789169990388319,0.23765988647937775,False,0.9847439527511597,0.9921127557754517,0.9903216361999512,False,6.958842277526855e-05
LFW,lfw_07987,Serena Williams,0,Random Noise,0.047058823529411764,35,0.125,0.9928425550460815,34.80629019502242,0.9066130984350785,0.16399265825748444,False,0.9934272170066833,0.9944080114364624,0.9952846765518188,False,6.958842277526855e-05
LFW,lfw_12153,John Negroponte,0,Random Noise,0.047058823529411764,35,0.125,0.9899852871894836,34.74335643266217,0.8777635803948399,0.2209790199995041,False,0.9863473176956177,0.9904710054397583,0.9929074048995972,False,6.958842277526855e-05
LFW,lfw_08687,Leander Paes,0,Random Noise,0.047058823529411764,35,0.125,0.995949923992157,34.755588308517986,0.8942210480244398,0.1395491510629654,False,0.9945245981216431,0.9914202094078064,0.9968608617782593,False,6.958842277526855e-05
